IRIS,IRIS_NAME,Nb_BT
10010000,L'Abergement-Clémenciat,23
10020000,L'Abergement-de-Varey,10
10040101,Les Perouses-Triangle d'Activite,25
10040102,Longeray-Gare,17
10040201,Centre-St Germain-Vareilles,20
10040202,Tiret-Les Allymes,48
10060000,Ambléon,2
10070000,Ambronay,49
10080000,Ambutrix,6
10090000,Andert-et-Condon,7
10100000,Anglefort,24
10110000,Apremont,8
10120000,Aranc,10
10130000,Arandas,4
10140000,Arbent,42
10150000,Arboys en Bugey,13
10160000,Arbigny,14
10170000,Argis,12
10190000,Armix,1
10220000,Artemare,16
10230000,Asnières-sur-Saône,2
10240000,Attignat,46
10250000,Bâgé-la-Ville,82
10260000,Bâgé-le-Châtel,10
10270000,Balan,26
10280000,Baneins,15
10290000,Beaupont,30
10300000,Beauregard,5
10310000,Bellignat,40
10320000,Béligneux,35
10330101,Coupy-Vanchy,14
10330102,Centre Ville,22
10330201,Arc Vouvray-Gare-Chatillon,24
10330202,Plateau de Musinens,14
10330301,Arlod,14
10340101,Ouest,36
10340102,Centre et Est,41
10340103,Sud Ouest,19
10350000,Belleydoux,13
10360000,Belmont-Luthézieu,20
10370000,Bénonces,7
10380000,Bény,34
10390000,Béon,10
10400000,Béréziat,13
10410000,Bettant,6
10420000,Bey,7
10430000,Beynost,50
10440000,Billiat,16
10450000,Birieux,17
10460000,Biziat,23
10470000,Blyes,20
10490000,La Boisse,32
10500000,Boissey,12
10510000,Bolozon,4
10520000,Bouligneux,1
10530101,Centre-Ville,11
10530102,Champ-de-Foire,17
10530103,Prefecture,9
10530201,Citadelle,9
10530202,Mail,6
10530203,Peloux,9
10530301,Gare,16
10530302,Brou,19
10530401,Vennes-Ouest,8
10530402,Vennes-Est,17
10530501,Baudieres,10
10530502,Sardieres,17
10530503,Croix-Blanche,15
10530601,Pont-des-Chevres,10
10530602,Reyssouze-Ouest,6
10530603,Reyssouze-Est,9
10530604,Cenord-Grand-Challes,21
10530701,Granges-Bardes-Alagnier,41
10540000,Bourg-Saint-Christophe,10
10560000,Boyeux-Saint-Jérôme,9
10570000,Boz,9
10580000,Brégnier-Cordon,16
10590000,Brénaz,6
10600000,Brénod,22
10610000,Brens,20
10620000,Bressolles,12
10630000,Brion,9
10640000,Briord,17
10650000,Buellas,27
10660000,La Burbanche,9
10670000,Ceignes,9
10680000,Cerdon,13
10690000,Certines,21
10710000,Cessy,35
10720000,Ceyzériat,26
10730000,Ceyzérieu,20
10740000,Chalamont,51
10750000,Chaleins,29
10760000,Chaley,5
10770000,Challes-la-Montagne,4
10780000,Challex,19
10790000,Champagne-en-Valromey,19
10800000,Champdor-Corcelles,20
10810000,Champfromier,12
10820000,Chanay,10
10830000,Chaneins,24
10840000,Chanoz-Châtenay,29
10850000,La Chapelle-du-Châtelard,19
10870000,Charix,12
10880000,Charnoz-sur-Ain,14
10890000,Château-Gaillard,26
10900000,Châtenay,19
10910000,Châtillon-en-Michaille,60
10920000,Châtillon-la-Palud,23
10930000,Châtillon-sur-Chalaronne,63
10940000,Chavannes-sur-Reyssouze,28
10950000,Chavannes-sur-Suran,16
10960000,Chaveyriat,35
10970000,Chavornay,8
10980000,Chazey-Bons,25
10990000,Chazey-sur-Ain,31
11000000,Cheignieu-la-Balme,4
11010000,Chevillard,3
11020000,Chevroux,27
11030000,Chevry,15
11040000,Chézery-Forens,30
11060000,Cize,3
11070000,Cleyzieu,4
11080000,Coligny,33
11090000,Collonges,25
11100000,Colomieu,4
11110000,Conand,5
11120000,Condamine,5
11130000,Condeissiat,41
11140000,Confort,8
11150000,Confrançon,40
11160000,Contrevoz,10
11170000,Conzieu,5
11180000,Corbonod,26
11210000,Corlier,4
11220000,Cormaranche-en-Bugey,20
11230000,Cormoranche-sur-Saône,13
11240000,Cormoz,27
11250000,Corveissiat,12
11270000,Courmangoux,12
11280000,Courtes,10
11290000,Crans,14
11300000,Cras-sur-Reyssouze,21
11330000,Cressin-Rochefort,9
11340000,Crottet,30
11350000,Crozet,28
