,x,y,xGPS,yGPS,xyGPS,Feeder,Geo,Geo_Name
N0,1585822.3151271555,7774386.412807113,1.5507048888048582,45.16426871299029,"(1.5507048888048582, 45.16426871299029)",0SS,190310201,Sports
N1,1585877.768833852,7774064.414743448,1.5514865875048571,45.161387457990294,"(1.5514865875048571, 45.161387457990294)",F00,190310201,Sports
N2,1585905.0689953724,7773834.807971458,1.551888599604853,45.1593308296903,"(1.551888599604853, 45.1593308296903)",F00,190310201,Sports
N3,1586179.1687182575,7773051.940615217,1.5555557120048409,45.15234951649026,"(1.5555557120048407, 45.15234951649026)",F00,190310301,Rollinat
N4,1586303.53761408,7773053.93307779,1.5571331558048331,45.15238863879029,"(1.5571331558048331, 45.15238863879029)",F00,190310301,Rollinat
N5,1586394.4693112024,7772854.235096723,1.5583349695048294,45.15061136489027,"(1.5583349695048294, 45.15061136489027)",F00,190310301,Rollinat
N6,1586620.5223436244,7772760.36370418,1.5612254905048224,45.14980714169025,"(1.5612254905048224, 45.14980714169025)",F00,190310301,Rollinat
N7,1586823.9339627603,7772843.817059995,1.56378611500481,45.15059092519026,"(1.56378611500481, 45.15059092519026)",F00,190310301,Rollinat
N8,1584798.3959173588,7774045.660974427,1.537794442504902,45.16103330559029,"(1.537794442504902, 45.16103330559029)",F01,190310102,Guierle
N9,1584658.8833859612,7773919.767977881,1.5360549173049054,45.15987895869029,"(1.5360549173049054, 45.15987895869029)",F01,190310102,Guierle
N10,1584590.6127660042,7773846.622563515,1.5352065315049142,45.159210471790274,"(1.5352065315049142, 45.159210471790274)",F01,190310101,Centre
N11,1584529.710545701,7773866.4640073925,1.5344288822049152,45.15937804459029,"(1.5344288822049152, 45.15937804459029)",F01,190310101,Centre
N12,1584523.205899387,7773733.935832382,1.5343788145049144,45.15818714669028,"(1.5343788145049144, 45.15818714669028)",F01,190310101,Centre
N13,1584459.709824231,7773930.650397258,1.5335249054049158,45.15994214039029,"(1.5335249054049158, 45.15994214039029)",F01,190310101,Centre
N14,1584468.8101676619,7773701.807704861,1.5336964754049165,45.15788928579028,"(1.5336964754049165, 45.15788928579028)",F01,190310101,Centre
N15,1584406.559092319,7773891.980888798,1.5328599510049141,45.159585764390286,"(1.5328599510049141, 45.159585764390286)",F01,190310101,Centre
N16,1584405.966495108,7773880.686291237,1.5328552016049188,45.15948426439029,"(1.5328552016049188, 45.15948426439029)",F01,190310101,Centre
N17,1584328.1183297518,7773716.345418794,1.5319077141049209,45.157995383990276,"(1.5319077141049209, 45.157995383990276)",F01,190310101,Centre
N18,1584342.1410544787,7773605.561265958,1.5321128282049197,45.15700325679028,"(1.5321128282049197, 45.15700325679028)",F01,190310101,Centre
N19,1584277.3033787392,7773782.633737549,1.5312466631049255,45.15858166089029,"(1.5312466631049255, 45.15858166089029)",F01,190310101,Centre
N20,1584273.925214074,7773675.654599551,1.5312300644049242,45.15762067129028,"(1.5312300644049242, 45.15762067129028)",F01,190310101,Centre
N21,1584154.621374019,7773567.80586057,1.5297427708049296,45.156631727690275,"(1.5297427708049296, 45.156631727690275)",F01,190310103,Poste
N22,1583751.1073568112,7773648.337253956,1.5246029792049467,45.15728440579029,"(1.5246029792049467, 45.15728440579029)",F01,190310104,Arsonval
N23,1583329.8183836143,7773547.363525012,1.5192824489049654,45.15630427379028,"(1.5192824489049654, 45.15630427379028)",F01,190310405,Danton
N24,1586200.5687482927,7773658.9766284125,1.5556806777048426,45.15780284209029,"(1.5556806777048426, 45.15780284209029)",F02,190310202,Chapelies
N25,1586152.2924024025,7773554.001130993,1.5550934673048442,45.15685217359028,"(1.5550934673048442, 45.15685217359028)",F02,190310202,Chapelies
N26,1586214.9212088906,7773563.295728598,1.5558858899048424,45.15694631579028,"(1.5558858899048424, 45.15694631579028)",F02,190310202,Chapelies
N27,1586535.4832769602,7773673.258767597,1.5599268858048236,45.15798818699027,"(1.5599268858048236, 45.15798818699027)",F02,190310301,Rollinat
N28,1586333.2481495074,7773321.51771435,1.557445587704836,45.154795948790294,"(1.557445587704836, 45.154795948790294)",F02,190310301,Rollinat
N29,1586688.2098218054,7773818.54064626,1.5618298749048232,45.1593184572903,"(1.5618298749048232, 45.1593184572903)",F02,191230103,Sud
N30,1586755.025054945,7773774.393230269,1.5626883085048189,45.15893348289028,"(1.5626883085048189, 45.15893348289028)",F02,191230103,Sud
N31,1586835.837175043,7773895.3415960325,1.5636846955048138,45.160033036990306,"(1.5636846955048138, 45.160033036990306)",F02,191230103,Sud
N32,1586621.1767155163,7773207.552358125,1.561126247604821,45.15382188529029,"(1.561126247604821, 45.15382188529029)",F02,190310301,Rollinat
N33,1586705.5263655668,7773078.922667546,1.562227373304815,45.15268146049029,"(1.562227373304815, 45.15268146049029)",F02,190310301,Rollinat
N34,1586922.6427894568,7773010.348837373,1.5649984977048097,45.15210272309029,"(1.5649984977048097, 45.15210272309029)",F02,190310301,Rollinat
N35,1585048.820266275,7774135.943797569,1.5409501688048908,45.16188708279029,"(1.5409501688048908, 45.16188708279029)",F03,190310201,Sports
N36,1584864.8562473196,7774336.206122689,1.5385668034049005,45.16365317359032,"(1.5385668034049005, 45.16365317359032)",F03,190310102,Guierle
N37,1584743.346106769,7774398.422882051,1.5370096155049031,45.16419071339029,"(1.5370096155049031, 45.16419071339029)",F03,190310102,Guierle
N38,1584649.220498401,7774198.1784510175,1.5358641600049117,45.162376719390316,"(1.5358641600049117, 45.162376719390316)",F03,190310102,Guierle
N39,1584633.928744746,7774296.1188895935,1.5356461350049084,45.163253334190294,"(1.5356461350049084, 45.163253334190294)",F03,190310102,Guierle
N40,1584519.555039299,7774181.141352178,1.534222913004914,45.16220130229031,"(1.534222913004914, 45.16220130229031)",F03,190310102,Guierle
N41,1584525.435061279,7773991.1583659,1.5343440790049112,45.16049674709031,"(1.5343440790049112, 45.16049674709031)",F03,190310101,Centre
N42,1584448.8164517488,7773971.7425588975,1.5333766028049176,45.16030915579027,"(1.5333766028049176, 45.16030915579027)",F03,190310101,Centre
N43,1584423.630050199,7774105.349141313,1.5330242411049189,45.161504240290306,"(1.5330242411049189, 45.161504240290306)",F03,190310102,Guierle
N44,1584288.3937288818,7774015.542663728,1.5313302052049245,45.16067452499031,"(1.5313302052049245, 45.16067452499031)",F03,190310104,Arsonval
N45,1584274.8768899688,7774082.016741491,1.5311423627049243,45.16126894809029,"(1.5311423627049243, 45.16126894809029)",F03,190310104,Arsonval
N46,1584153.194846135,7773857.371932075,1.5296535004049303,45.159231050990286,"(1.5296535004049303, 45.159231050990286)",F03,190310104,Arsonval
