,x,y,Shape,xyGPS,xGPS,yGPS
N0,1592446.9598217818,7765933.762730244,"(1592446.9598217818, 7765933.7627302436)","(1.6367015937045646, 45.089488124690057)",1.6367015937045646,45.08948812469006
N1,1588090.1592317836,7778771.073599043,"(1588090.1592317836, 7778771.0735990433)","(1.5784425264047706, 45.204018227790463)",1.5784425264047706,45.20401822779046
N2,1578824.7081277615,7784442.832515737,"(1578824.7081277615, 7784442.832515737)","(1.4593153350051749, 45.253316378490581)",1.4593153350051749,45.25331637849058
N3,1586667.9359932814,7776106.1285647,"(1586667.9359932814, 7776106.1285646996)","(1.5610223367048222, 45.179852156390361)",1.5610223367048222,45.17985215639036
N4,1594941.2688015457,7760012.392952654,"(1594941.2688015457, 7760012.3929526536)","(1.6696270713044492, 45.036729739289896)",1.6696270713044492,45.036729739289896
N5,1582154.772211395,7778456.827491004,"(1582154.772211395, 7778456.827491004)","(1.503144813805021, 45.200172582790422)",1.503144813805021,45.20017258279042
N6,1595085.8776656291,7762102.732883516,"(1595085.8776656291, 7762102.7328835158)","(1.6709945474044454, 45.055517059989981)",1.6709945474044454,45.05551705998998
N7,1595013.1734101628,7761981.2430485375,"(1595013.1734101628, 7761981.2430485375)","(1.6701007079044508, 45.054415028789947)",1.6701007079044508,45.05441502878995
N8,1595457.399110845,7761653.937306768,"(1595457.3991108451, 7761653.9373067683)","(1.6757990160044318, 45.051546561889921)",1.6757990160044318,45.05154656188992
N9,1580950.7564035652,7762806.4326327415,"(1580950.7564035652, 7762806.4326327415)","(1.4918043540050472, 45.05946261658994)",1.4918043540050472,45.05946261658994
N10,1581799.7518168315,7763100.275635737,"(1581799.7518168315, 7763100.275635737)","(1.5024837745050112, 45.06225120429)",1.5024837745050112,45.06225120429
N11,1580739.1730957904,7763314.529895258,"(1580739.1730957904, 7763314.5298952581)","(1.4889964800050564, 45.063985803189958)",1.4889964800050564,45.06398580318996
N12,1590279.131691032,7766250.177786437,"(1590279.1316910321, 7766250.1777864369)","(1.6091557047046561, 45.091975565390051)",1.609155704704656,45.09197556539005
N13,1590176.2889976755,7764094.820929866,"(1590176.2889976755, 7764094.8209298663)","(1.608353135004656, 45.072610015790019)",1.608353135004656,45.07261001579002
N14,1589745.925662757,7764548.209729309,"(1589745.9256627569, 7764548.2097293092)","(1.6027952267046779, 45.076609081090041)",1.6027952267046779,45.07660908109004
N15,1592225.7295314593,7765844.150746246,"(1592225.7295314593, 7765844.1507462459)","(1.6339184114045731, 45.088647962690047)",1.633918411404573,45.08864796269005
N16,1592206.5279112149,7765741.8763590865,"(1592206.5279112149, 7765741.8763590865)","(1.6336984049045746, 45.08772673279006)",1.6336984049045746,45.08772673279006
N17,1584654.2621498618,7768392.979869903,"(1584654.2621498618, 7768392.9798699031)","(1.5373476361049017, 45.110262567490153)",1.5373476361049017,45.11026256749015
N18,1582974.6080318775,7765459.589652434,"(1582974.6080318775, 7765459.589652434)","(1.5167806660049656, 45.083637109090049)",1.5167806660049656,45.08363710909005
N19,1582486.8580393905,7766854.313109332,"(1582486.8580393905, 7766854.3131093318)","(1.5102534927049882, 45.096071584890097)",1.5102534927049882,45.0960715848901
N20,1583018.510037,7765439.124973606,"(1583018.5100370001, 7765439.1249736063)","(1.5173420184049506, 45.083461101090052)",1.5173420184049506,45.08346110109005
N21,1587346.546394088,7785602.686217417,"(1587346.5463940881, 7785602.686217417)","(1.5673613923048122, 45.265228406190616)",1.5673613923048122,45.265228406190616
N22,1583909.9366532676,7786447.054666801,"(1583909.9366532676, 7786447.0546668014)","(1.5234593052049614, 45.272218234790635)",1.5234593052049614,45.272218234790635
N23,1598675.1152641124,7762026.647221587,"(1598675.1152641124, 7762026.6472215867)","(1.7164688897042959, 45.055388510389946)",1.716468889704296,45.055388510389946
N24,1583848.1999870208,7789649.302175414,"(1583848.1999870208, 7789649.3021754138)","(1.5218813593049678, 45.300958932590746)",1.5218813593049678,45.300958932590746
N25,1584239.2251735022,7789938.379499468,"(1584239.2251735022, 7789938.379499468)","(1.5267848160049535, 45.303622715490768)",1.5267848160049535,45.30362271549077
N26,1589304.3610612324,7782121.2811007155,"(1589304.3610612324, 7782121.2811007155)","(1.5930740185047223, 45.234299884290543)",1.5930740185047223,45.23429988429054
N27,1589455.9443606322,7782678.948733275,"(1589455.9443606322, 7782678.9487332748)","(1.5948690050047176, 45.239331990590536)",1.5948690050047176,45.239331990590536
N28,1588186.0934599582,7777900.391912612,"(1588186.0934599582, 7777900.3919126121)","(1.5798677388047631, 45.196217420490413)",1.579867738804763,45.19621742049041
N29,1591027.8894164462,7779699.128536335,"(1591027.8894164462, 7779699.1285363352)","(1.6155362892046461, 45.212837851790468)",1.615536289204646,45.21283785179047
N30,1588370.8727419307,7784445.863206805,"(1588370.8727419307, 7784445.8632068047)","(1.5806599448047667, 45.255014723190591)",1.5806599448047667,45.25501472319059
N31,1592347.5187391338,7779646.828930528,"(1592347.5187391338, 7779646.8289305279)","(1.6323101730045912, 45.212583080690464)",1.6323101730045912,45.212583080690464
N32,1593552.50830362,7776676.16596843,"(1593552.5083036199, 7776676.1659684302)","(1.6482878504045335, 45.186106055890392)",1.6482878504045335,45.18610605589039
N33,1591890.5719890874,7779562.640026346,"(1591890.5719890874, 7779562.6400263458)","(1.6265254261046103, 45.211753144390464)",1.6265254261046103,45.211753144390464
N34,1593748.5432554989,7776161.739179965,"(1593748.5432554989, 7776161.7391799651)","(1.6508927309045254, 45.181518865590363)",1.6508927309045254,45.18151886559036
N35,1587091.986550413,7790105.123831001,"(1587091.9865504131, 7790105.1238310011)","(1.5630411882048296, 45.305610880490732)",1.5630411882048296,45.30561088049073
N36,1588953.989852383,7789581.836512726,"(1588953.989852383, 7789581.8365127258)","(1.5868569853047503, 45.301226263490754)",1.5868569853047503,45.301226263490754
N37,1578397.7654347518,7780448.001274598,"(1578397.7654347518, 7780448.0012745978)","(1.4549220782051864, 45.217373050490465)",1.4549220782051864,45.217373050490465
N38,1579849.370631321,7779824.6344353445,"(1579849.3706313211, 7779824.6344353445)","(1.473520412305126, 45.212040267290469)",1.473520412305126,45.21204026729047
N39,1579648.2011443274,7780454.347916476,"(1579648.2011443274, 7780454.3479164764)","(1.4708041697051313, 45.217657368490471)",1.4708041697051313,45.21765736849047
N40,1578844.2810947385,7780088.085821549,"(1578844.2810947385, 7780088.0858215494)","(1.460686662305166, 45.214223250990464)",1.460686662305166,45.214223250990464
N41,1597613.5942727022,7765488.987738807,"(1597613.5942727022, 7765488.9877388068)","(1.7022750263043458, 45.086308283090055)",1.7022750263043458,45.086308283090055
N42,1597580.3085962913,7765525.750142757,"(1597580.3085962913, 7765525.7501427568)","(1.7018452529043502, 45.086633198190043)",1.7018452529043502,45.08663319819004
N43,1597348.3310987875,7763984.163522336,"(1597348.3310987875, 7763984.1635223357)","(1.6992403080043541, 45.072758470590024)",1.699240308004354,45.072758470590024
N44,1598507.1340209069,7763888.3736090325,"(1598507.1340209069, 7763888.3736090325)","(1.7139419171043042, 45.072075806790018)",1.7139419171043042,45.07207580679002
N45,1597731.7012939185,7767564.098046247,"(1597731.7012939185, 7767564.0980462469)","(1.7033225140043435, 45.10495530789013)",1.7033225140043435,45.10495530789013
N46,1595440.1481483288,7766852.62272605,"(1595440.1481483288, 7766852.6227260502)","(1.6744308552044413, 45.098212826090098)",1.6744308552044413,45.0982128260901
N47,1594700.546518076,7766215.17359737,"(1594700.546518076, 7766215.1735973703)","(1.6651984764044712, 45.09237394329007)",1.6651984764044712,45.09237394329007
N48,1595238.6278966146,7767047.065749448,"(1595238.6278966146, 7767047.0657494478)","(1.6718334577044465, 45.099926771990091)",1.6718334577044465,45.09992677199009
N49,1594122.6676433694,7767702.550979015,"(1594122.6676433694, 7767702.5509790154)","(1.657541287304493, 45.105635019890109)",1.657541287304493,45.10563501989011
N50,1594058.9739594932,7770237.913936552,"(1594058.9739594932, 7770237.9139365517)","(1.656164864504504, 45.128385867890188)",1.656164864504504,45.12838586789019
N51,1592125.112306006,7769418.370165918,"(1592125.112306006, 7769418.370165918)","(1.6318269173045843, 45.120718326990165)",1.6318269173045843,45.120718326990165
N52,1595250.0091066484,7768586.172464728,"(1595250.0091066484, 7768586.1724647284)","(1.6716363202044497, 45.113745647690159)",1.6716363202044497,45.11374564769016
